ID,STIX ID,name,description,url,created,last modified,domain,version,associated campaigns,associated campaigns citations,first seen,first seen citation,last seen,last seen citation,contributors,relationship citations
C0028,campaign--46421788-b6e1-4256-b351-f8beffd1afba,2015 Ukraine Electric Power Attack,[2015 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0028) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign during which they used [BlackEnergy](https://attack.mitre.org/software/S0089) (specifically BlackEnergy3) and [KillDisk](https://attack.mitre.org/software/S0607) to target and disrupt transmission and distribution substations within the Ukrainian power grid. This campaign was the first major public attack conducted against the Ukrainian power grid by Sandworm Team.,https://attack.mitre.org/campaigns/C0028,27 September 2023,06 October 2023,"ics-attack,enterprise-attack",1.0,,,01 December 2015,(Citation: Booz Allen Hamilton),01 January 2016,(Citation: Booz Allen Hamilton),,"(Citation: Booz Allen Hamilton),(Citation: Charles McLellan March 2016),(Citation: Ukraine15 - EISAC - 201603),(Citation: Booz Allen Hamilton),(Citation: Andy Greenberg June 2017),(Citation: US District Court Indictment GRU Unit 74455 October 2020)"
C0025,campaign--aa73efef-1418-4dbe-b43c-87a498e97234,2016 Ukraine Electric Power Attack,[2016 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0025) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign during which they used [Industroyer](https://attack.mitre.org/software/S0604) malware to target and disrupt distribution substations within the Ukrainian power grid. This campaign was the second major public attack conducted against Ukraine by [Sandworm Team](https://attack.mitre.org/groups/G0034).(Citation: ESET Industroyer)(Citation: Dragos Crashoverride 2018),https://attack.mitre.org/campaigns/C0025,31 March 2023,10 April 2023,"enterprise-attack,ics-attack",1.0,,,01 December 2016,(Citation: ESET Industroyer)(Citation: Dragos Crashoverride 2018),01 December 2016,(Citation: ESET Industroyer)(Citation: Dragos Crashoverride 2018),,"(Citation: Dragos Crashoverride 2018),(Citation: ESET Industroyer),(Citation: Dragos Crashoverride 2018),(Citation: ESET Industroyer),(Citation: Dragos Crashoverride 2017),(Citation: Joe Slowik August 2019),(Citation: US District Court Indictment GRU Unit 74455 October 2020)"
C0034,campaign--df8eb785-70f8-4300-b444-277ba849083d,2022 Ukraine Electric Power Attack,"The [2022 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0034) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign that used a combination of GOGETTER, Neo-REGEORG, [CaddyWiper](https://attack.mitre.org/software/S0693), and living of the land (LotL) techniques to gain access to a Ukrainian electric utility to send unauthorized commands from their SCADA system.(Citation: Mandiant-Sandworm-Ukraine-2022)(Citation: Dragos-Sandworm-Ukraine-2022) ",https://attack.mitre.org/campaigns/C0034,27 March 2024,10 April 2024,"enterprise-attack,ics-attack",1.0,,,01 June 2022,(Citation: Mandiant-Sandworm-Ukraine-2022),01 October 2022,(Citation: Mandiant-Sandworm-Ukraine-2022),,"(Citation: Mandiant-Sandworm-Ukraine-2022),(Citation: Mandiant-Sandworm-Ukraine-2022),(Citation: Dragos-Sandworm-Ukraine-2022),(Citation: Mandiant-Sandworm-Ukraine-2022)"
C0040,campaign--add4d9de-1256-4166-83b8-57087288dced,APT41 DUST,"[APT41 DUST](https://attack.mitre.org/campaigns/C0040) was conducted by [APT41](https://attack.mitre.org/groups/G0096) from 2023 to July 2024 against entities in Europe, Asia, and the Middle East. [APT41 DUST](https://attack.mitre.org/campaigns/C0040) targeted sectors such as shipping, logistics, and media for information gathering purposes. [APT41](https://attack.mitre.org/groups/G0096) used previously-observed malware such as [DUSTPAN](https://attack.mitre.org/software/S1158) as well as newly observed tools such as [DUSTTRAP](https://attack.mitre.org/software/S1159) in [APT41 DUST](https://attack.mitre.org/campaigns/C0040).(Citation: Google Cloud APT41 2024)",https://attack.mitre.org/campaigns/C0040,16 September 2024,21 September 2024,enterprise-attack,1.0,,,31 January 2023,(Citation: Google Cloud APT41 2024),30 June 2024,(Citation: Google Cloud APT41 2024),,"(Citation: Google Cloud APT41 2024),(Citation: Google Cloud APT41 2024),(Citation: Google Cloud APT41 2024)"
C0010,campaign--ab747e62-1bcb-479f-a26b-1cd39d413d81,C0010,"[C0010](https://attack.mitre.org/campaigns/C0010) was a cyber espionage campaign conducted by UNC3890 that targeted Israeli shipping, government, aviation, energy, and healthcare organizations. Security researcher assess UNC3890 conducts operations in support of Iranian interests, and noted several limited technical connections to Iran, including PDB strings and Farsi language artifacts. [C0010](https://attack.mitre.org/campaigns/C0010) began by at least late 2020, and was still ongoing as of mid-2022.(Citation: Mandiant UNC3890 Aug 2022)",https://attack.mitre.org/campaigns/C0010,21 September 2022,04 October 2022,enterprise-attack,1.0,,,01 December 2020,(Citation: Mandiant UNC3890 Aug 2022),01 August 2022,(Citation: Mandiant UNC3890 Aug 2022),,"(Citation: Mandiant UNC3890 Aug 2022),(Citation: Mandiant UNC3890 Aug 2022),"
C0011,campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,C0011,"[C0011](https://attack.mitre.org/campaigns/C0011) was a suspected cyber espionage campaign conducted by [Transparent Tribe](https://attack.mitre.org/groups/G0134) that targeted students at universities and colleges in India. Security researchers noted this campaign against students was a significant shift from [Transparent Tribe](https://attack.mitre.org/groups/G0134)'s historic targeting Indian government, military, and think tank personnel, and assessed it was still ongoing as of July 2022.(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022) ",https://attack.mitre.org/campaigns/C0011,22 September 2022,22 September 2022,enterprise-attack,1.0,,,01 December 2021,(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),01 July 2022,(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),,"(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022),(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022)"
C0015,campaign--78068e68-4124-4243-b6f4-76e4e5be8a06,C0015,"[C0015](https://attack.mitre.org/campaigns/C0015) was a ransomware intrusion during which the unidentified attackers used [Bazar](https://attack.mitre.org/software/S0534), [Cobalt Strike](https://attack.mitre.org/software/S0154), and [Conti](https://attack.mitre.org/software/S0575), along with other tools, over a 5 day period. Security researchers assessed the actors likely used the widely-circulated [Conti](https://attack.mitre.org/software/S0575) ransomware playbook based on the observed pattern of activity and operator errors.(Citation: DFIR Conti Bazar Nov 2021)",https://attack.mitre.org/campaigns/C0015,29 September 2022,29 September 2022,enterprise-attack,1.0,,,01 August 2021,(Citation: DFIR Conti Bazar Nov 2021),01 August 2021,(Citation: DFIR Conti Bazar Nov 2021),"Matt Brenton, Zurich Insurance Group","(Citation: DFIR Conti Bazar Nov 2021),(Citation: DFIR Conti Bazar Nov 2021),"
C0017,campaign--ba6dfa37-f401-4140-88b0-8938f2895e61,C0017,"[C0017](https://attack.mitre.org/campaigns/C0017) was an [APT41](https://attack.mitre.org/groups/G0096) campaign conducted between May 2021 and February 2022 that successfully compromised at least six U.S. state government networks through the exploitation of vulnerable Internet facing web applications. During [C0017](https://attack.mitre.org/campaigns/C0017), [APT41](https://attack.mitre.org/groups/G0096) was quick to adapt and use publicly-disclosed as well as zero-day vulnerabilities for initial access, and in at least two cases re-compromised victims following remediation efforts. The goals of [C0017](https://attack.mitre.org/campaigns/C0017) are unknown, however [APT41](https://attack.mitre.org/groups/G0096) was observed exfiltrating Personal Identifiable Information (PII).(Citation: Mandiant APT41)",https://attack.mitre.org/campaigns/C0017,01 December 2022,25 January 2023,enterprise-attack,1.0,,,01 May 2021,(Citation: Mandiant APT41),01 February 2022,(Citation: Mandiant APT41),"Kyaw Pyiyt Htet, @KyawPyiytHtet","(Citation: Mandiant APT41),(Citation: Mandiant APT41),(Citation: Mandiant APT41)"
C0018,campaign--519ee082-8ab6-439b-988f-a8a3f02c8d30,C0018,"
[C0018](https://attack.mitre.org/campaigns/C0018) was a month-long ransomware intrusion that successfully deployed [AvosLocker](https://attack.mitre.org/software/S1053) onto a compromised network. The unidentified actors gained initial access to the victim network through an exposed server and used a variety of open-source tools prior to executing [AvosLocker](https://attack.mitre.org/software/S1053).(Citation: Costa AvosLocker May 2022)(Citation: Cisco Talos Avos Jun 2022)",https://attack.mitre.org/campaigns/C0018,17 January 2023,14 February 2023,enterprise-attack,1.0,,,01 February 2022,(Citation: Cisco Talos Avos Jun 2022),01 March 2022,(Citation: Cisco Talos Avos Jun 2022),"Flavio Costa, Cisco","(Citation: Costa AvosLocker May 2022),(Citation: Cisco Talos Avos Jun 2022),(Citation: Costa AvosLocker May 2022),(Citation: Cisco Talos Avos Jun 2022),"
C0021,campaign--712e38c3-a656-426a-9b3b-a6bfb63294c6,C0021,"[C0021](https://attack.mitre.org/campaigns/C0021) was a spearphishing campaign conducted in November 2018 that targeted public sector institutions, non-governmental organizations (NGOs), educational institutions, and private-sector corporations in the oil and gas, chemical, and hospitality industries. The majority of targets were located in the US, particularly in and around Washington D.C., with other targets located in Europe, Hong Kong, India, and Canada. [C0021](https://attack.mitre.org/campaigns/C0021)'s technical artifacts, tactics, techniques, and procedures (TTPs), and targeting overlap with previous suspected [APT29](https://attack.mitre.org/groups/G0016) activity.(Citation: Microsoft Unidentified Dec 2018)(Citation: FireEye APT29 Nov 2018)",https://attack.mitre.org/campaigns/C0021,15 March 2023,05 April 2023,enterprise-attack,1.0,,,01 November 2018,(Citation: FireEye APT29 Nov 2018)(Citation: Microsoft Unidentified Dec 2018),01 November 2018,(Citation: FireEye APT29 Nov 2018)(Citation: Microsoft Unidentified Dec 2018),,"(Citation: FireEye APT29 Nov 2018),(Citation: Microsoft Unidentified Dec 2018),(Citation: FireEye APT29 Nov 2018),(Citation: Microsoft Unidentified Dec 2018),"
C0026,campaign--c89fa3ff-4773-4daf-8aec-d8f43f10116e,C0026,[C0026](https://attack.mitre.org/campaigns/C0026) was a campaign identified in September 2022 that included the selective distribution of [KOPILUWAK](https://attack.mitre.org/software/S1075) and [QUIETCANARY](https://attack.mitre.org/software/S1076) malware to previous [ANDROMEDA](https://attack.mitre.org/software/S1074) malware victims in Ukraine through re-registered [ANDROMEDA](https://attack.mitre.org/software/S1074) C2 domains. Several tools and tactics used during [C0026](https://attack.mitre.org/campaigns/C0026) were consistent with historic [Turla](https://attack.mitre.org/groups/G0010) operations.(Citation: Mandiant Suspected Turla Campaign February 2023),https://attack.mitre.org/campaigns/C0026,15 May 2023,29 September 2023,enterprise-attack,1.0,,,01 August 2022,(Citation: Mandiant Suspected Turla Campaign February 2023),01 September 2022,(Citation: Mandiant Suspected Turla Campaign February 2023),"Manikantan Srinivasan, NEC Corporation India; Pooja Natarajan, NEC Corporation India; Yoshihiro Kori, NEC Corporation","(Citation: Mandiant Suspected Turla Campaign February 2023),(Citation: Mandiant Suspected Turla Campaign February 2023),"
