ID,STIX ID,name,description,url,created,last modified,domain,version,contributors,platforms,aliases,type,relationship citations
S0066,malware--7bec698a-7e20-4fd3-bb6a-12787770fb1a,3PARA RAT,[3PARA RAT](https://attack.mitre.org/software/S0066) is a remote access tool (RAT) programmed in C++ that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024). (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0066,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)"
S0065,malware--8e461ca3-0996-4e6e-a0df-e2a5bbc51ebc,4H RAT,[4H RAT](https://attack.mitre.org/software/S0065) is malware that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024) since at least 2007. (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0065,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)"
S0677,tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,AADInternals,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)",https://attack.mitre.org/software/S0677,01 February 2022,14 October 2024,enterprise-attack,1.2,,"Identity Provider, Office Suite, Windows",,tool,"(Citation: MSTIC Nobelium Oct 2021),,(Citation: AADInternals Root Access to Azure VMs),(Citation: AADInternals),(Citation: AADInternals Documentation),(Citation: Azure AD Recon),(Citation: Azure AD Federation Vulnerability),(Citation: AADInternals Azure AD On-Prem to Cloud)"
S0469,malware--a0ebedca-d558-4e48-8ff7-4bf76208d90c,ABK,[ABK](https://attack.mitre.org/software/S0469) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0469,10 June 2020,24 June 2020,enterprise-attack,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S0045,malware--fb575479-14ef-41e9-bfab-0b7cf10bec73,ADVSTORESHELL,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is a spying backdoor that has been used by [APT28](https://attack.mitre.org/groups/G0007) from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase. (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 2),https://attack.mitre.org/software/S0045,31 May 2017,30 March 2020,enterprise-attack,1.1,,Windows,"AZZY, EVILTOSS, NETUI, Sedreco",malware,"(Citation: Kaspersky Sofacy),(Citation: Securelist Sofacy Feb 2018),,(Citation: Kaspersky Sofacy),(Citation: Bitdefender APT28 Dec 2015),(Citation: ESET Sednit Part 2)"
S1074,malware--dcd9548e-df9e-47c2-81f3-bc084289959d,ANDROMEDA,"[ANDROMEDA](https://attack.mitre.org/software/S1074) is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries. During the 2022 [C0026](https://attack.mitre.org/campaigns/C0026) campaign, threat actors re-registered expired [ANDROMEDA](https://attack.mitre.org/software/S1074) C2 domains to spread malware to select targets in Ukraine.(Citation: Mandiant Suspected Turla Campaign February 2023)",https://attack.mitre.org/software/S1074,16 May 2023,29 September 2023,enterprise-attack,1.0,"Manikantan Srinivasan, NEC Corporation India; Pooja Natarajan, NEC Corporation India; Yoshihiro Kori, NEC Corporation",Windows,,malware,",(Citation: Mandiant Suspected Turla Campaign February 2023),(Citation: Mandiant Suspected Turla Campaign February 2023)"
S0073,malware--56f46b17-8cfa-46c0-b501-dd52fef394e2,ASPXSpy,[ASPXSpy](https://attack.mitre.org/software/S0073) is a Web shell. It has been modified by [Threat Group-3390](https://attack.mitre.org/groups/G0027) actors to create the ASPXTool version. (Citation: Dell TG-3390),https://attack.mitre.org/software/S0073,31 May 2017,22 May 2024,enterprise-attack,1.3,,Windows,ASPXTool,malware,"(Citation: Volexity Exchange Marauder March 2021),(Citation: FireEye APT41 Aug 2019),(Citation: FireEye APT39 Jan 2019),(Citation: Profero APT27 December 2020),(Citation: Dell TG-3390),(Citation: SentinelOne Agrius 2021),(Citation: McAfee Night Dragon),(Citation: Dell TG-3390)"
S1125,malware--04cecafd-cb5f-4daf-aa1f-73899116c4a2,AcidRain,"[AcidRain](https://attack.mitre.org/software/S1125) is an ELF binary targeting modems and routers using MIPS architecture.(Citation: AcidRain JAGS 2022) [AcidRain](https://attack.mitre.org/software/S1125) is associated with the ViaSat KA-SAT communication outage that took place during the initial phases of the 2022 full-scale invasion of Ukraine. Analysis indicates overlap with another network device-targeting malware, VPNFilter, associated with [Sandworm Team](https://attack.mitre.org/groups/G0034).(Citation: AcidRain JAGS 2022) US and European government sources linked [AcidRain](https://attack.mitre.org/software/S1125) to Russian government entities, while Ukrainian government sources linked [AcidRain](https://attack.mitre.org/software/S1125) specifically to [Sandworm Team](https://attack.mitre.org/groups/G0034).(Citation: AcidRain State Department 2022)(Citation: Vincens AcidPour 2024)",https://attack.mitre.org/software/S1125,25 March 2024,12 April 2024,enterprise-attack,1.0,,"Linux, Network",,malware,"(Citation: Vincens AcidPour 2024),(Citation: AcidRain JAGS 2022),,(Citation: AcidRain JAGS 2022)"
S1028,malware--36801ffb-5c85-4c50-9121-6122e389366d,Action RAT,[Action RAT](https://attack.mitre.org/software/S1028) is a  remote access tool written in Delphi that has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 against Indian and Afghani government personnel.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1028,07 August 2022,24 August 2022,enterprise-attack,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)"
S0552,tool--f59508a6-3615-47c3-b493-6676e1a39a87,AdFind,[AdFind](https://attack.mitre.org/software/S0552) is a free command-line query tool that can be used for gathering information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),https://attack.mitre.org/software/S0552,28 December 2020,25 September 2024,enterprise-attack,1.5,,Windows,,tool,"(Citation: Symantec Cicada November 2020),(Citation: NCC Group TA505),(Citation: CrowdStrike StellarParticle January 2022),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: Secureworks GOLD IONIC April 2024),(Citation: Mandiant FIN12 Oct 2021),(Citation: CISA Play Ransomware Advisory December 2023),(Citation: Trend Micro Ransomware Spotlight Play July 2023),(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: DFIR Ryuk 2 Hour Speed Run November 2020),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: FireEye FIN6 Apr 2019),(Citation: DFIR Ryuk's Return October 2020),(Citation: FireEye Ryuk and Trickbot January 2019),(Citation: ESET T3 Threat Report 2021),(Citation: Arctic Wolf Akira 2023),(Citation: CrowdStrike StellarParticle January 2022),(Citation: DFIR Conti Bazar Nov 2021),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: Symantec Bumblebee June 2022),(Citation: Cybereason Bumblebee August 2022),(Citation: FireEye FIN6 Apr 2019),(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: FireEye Ryuk and Trickbot January 2019)"
